symbol,num_days,num_deals,avg_volume,avg_trades,volatility,mean_rel_range
AFH6,96,61271,3611.4583333333335,638.2395833333334,2.1887046178666862,2.3214680509269834
NMZ5,160,116377,3561.0,727.35625,1.8687209233643822,2.2654892044766637
MCU5,143,107796,3364.3146853146854,753.8181818181819,2.9699363865702755,3.3894010473707885
MEZ5,158,147508,3269.8924050632913,933.5949367088608,1.3704101815263885,2.064914810516973
PDM5,118,178760,3268.1101694915255,1514.915254237288,1.5450995155940583,2.062190366140161
RTZ5,158,92739,3155.1645569620255,586.9556962025316,1.8638973956351355,2.4817279899480944
NMM5,117,106941,3149.136752136752,914.025641025641,2.3701053916166366,3.3703025817398276
AKM5,117,121301,3038.6581196581196,1036.7606837606838,3.007640785105664,4.126309099486975
RIH6,234,431511,3016.7863247863247,1844.0641025641025,2.0700061685780438,1.5583888471783711
PHM5,116,69321,2996.646551724138,597.5948275862069,1.7329273698031264,2.539871629863508
SPU5,144,145307,2988.8611111111113,1009.0763888888889,1.2399715982716373,1.780022505889219
SPM5,117,124763,2867.3760683760684,1066.3504273504273,1.5171820036572643,2.1958689151229955
NKH5,55,107103,2864.6545454545453,1947.3272727272727,2.688419449931163,4.038494683528764
RNU5,187,217502,2691.3529411764707,1163.1122994652405,1.897454101025029,2.322505781383566
SOM5,117,57151,2537.5384615384614,488.47008547008545,1.9346665637488711,2.9073584978828912
SPZ5,159,123951,2527.169811320755,779.566037735849,1.2220065962656124,1.5077404791941293
PHZ5,153,52109,2293.1372549019607,340.58169934640523,1.1654387415044507,1.6306709046028667
SNM5,116,96733,2271.9741379310344,833.9051724137931,2.0006712374575377,3.0330742637530306
BRG6,227,176975,2266.5770925110132,779.6255506607929,1.671345232648219,1.472690341720688
LKH6,98,103364,2166.622448979592,1054.734693877551,1.872835431984608,2.3404505171756513
MGH5,55,58102,2151.6545454545453,1056.4,2.1104317517419253,3.450555149794513
FLM5,117,61937,2100.982905982906,529.3760683760684,2.596575879365579,3.559738137335773
RNZ5,266,206198,1952.5375939849623,775.1804511278195,1.6408121913543712,2.101040280814855
AKU5,140,73035,1830.057142857143,521.6785714285714,2.245686245610341,3.044440282514124
MTU5,145,78408,1825.2896551724139,540.744827586207,2.1964850680082657,2.163131431088644
TTH5,55,56163,1760.9272727272728,1021.1454545454545,1.7621111297508774,2.757332956816115
